difficulty_rating, bpm, mode, approach_rate, overall_difficulty, circle_size, hp_drain_rate, total_length, hit_length, min_cursor_speed, max_cursor_speed, avg_cursor_speed, map_length_seconds, hitobject_types_per_second_0, 1, 2, 3, 4, 5, 6, 7, inherited_timing_points, uninherited_timing_points, bpm_changes, slider_multiplier_changes, min_slider_multiplier, max_slider_multiplier, avg_slider_multiplier, meter_changes, min_meter, max_meter, avg_meter
4.8, 164, 3, 9, 8, 4, 8, 168, 168, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
2.45, 145.01, 3, 9, 8, 4, 8, 87, 83, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3, 145.01, 3, 9, 8, 4, 8, 87, 83, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.72, 155, 3, 9, 8, 4, 8, 176, 175, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
2.6, 142.88, 3, 9, 8, 4, 8, 139, 123, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.66, 152.2, 3, 9, 8, 4, 8, 108, 108, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.43, 152.2, 3, 9, 8, 4, 8, 108, 96, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.72, 168, 3, 9, 8, 4, 8, 143, 143, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.11, 164, 3, 9, 8, 4, 8, 183, 182, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
5.94, 161, 3, 9, 8, 4, 8, 133, 133, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
5.63, 217, 3, 5, 7, 7, 7, 153, 151, 0.0, 19086.956521739132, 2434.1368396415974, 152.61, 0.0, 22.514907279994755, 0.0, 0.0, 0.0, 0.07207915601860952, 0.0, 0.0, 0.0, 0.00655265054714632, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
7.69, 217, 3, 5, 8, 7, 8, 153, 151, 0.0, 19086.956521739132, 2434.1368396415974, 152.61, 0.0, 22.514907279994755, 0.0, 0.0, 0.0, 0.07207915601860952, 0.0, 0.0, 0.0, 0.00655265054714632, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
6.27, 200, 0, 9.4, 8, 4, 1, 4, 4, 0.0, 0.0, 0.0, 3.901, 0.0, 12.304537298128686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2563445270443476, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
2.56, 200, 3, 6, 8, 4, 5, 4, 3, 0.0, 0.0, 0.0, 3.901, 0.0, 12.304537298128686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2563445270443476, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
1.47, 200, 0, 9, 9, 4, 1, 2, 1, 0.0, 0.0, 0.0, 3.901, 0.0, 12.304537298128686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2563445270443476, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
2.71, 200, 1, 0, 8, 4, 5, 4, 4, 0.0, 0.0, 0.0, 3.901, 0.0, 12.304537298128686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2563445270443476, 0.0, 0.0, None, None, 0, 0.0, 4, 4, 4.0
